Addresses,lat,lon
"4800 Sand Point Way Northeast, Seattle, Washington 98105",47.66243,-122.282291
"South 239th Street, Des Moines, Washington 98198",47.38742,-122.315835
"720 8th Avenue South, Seattle, Washington 98104",47.596128,-122.322179
"125 16th Avenue East, Seattle, Washington 98112",47.619021,-122.312206
"19191 North Kelsey Street, Monroe, Washington 98272",47.86557,-121.972528
"14434 Ambaum Boulevard Southwest Suite 5, Burien, Washington 98166",47.472939,-122.34666
"11913 Northeast 195th Street, Bothell, Washington 98011",47.768605,-122.180708
"21509 State Route 410 East STE 4, Bonney Lake, Washington 98391",47.168502,-122.142237
"201 Broadway East, Seattle, Washington 98102",47.620229,-122.321295
"2746 Northeast 45th Street, Seattle, Washington 98105",47.662311,-122.296415
"9650 15th Avenue Southwest, Seattle, Washington 98106",47.516084,-122.35349
"1900 South 314th Street, Federal Way, Washington 98003",47.321768,-122.309797
"18516 101st Avenue Northeast Suite 3, Bothell, Washington 98011",47.762308,-122.205494
"31405 18th Avenue South, Federal Way, Washington 98003",47.320271,-122.311147
"32015 Pacific Highway South, Federal Way, Washington 98003",47.314323,-122.315547
"9801 204th Avenue East, Bonney Lake, Washington 98391",47.167108,-122.159234
"1401 2nd Avenue, Seattle, Washington 98101",47.608459,-122.338562
"503 Westlake Avenue North, Seattle, Washington 98109",47.623385,-122.338855
"19205 State Route 410 East, Bonney Lake, Washington 98391",47.167658,-122.171845
"8415 Myers Road East, Bonney Lake, Washington 98391",47.180299,-122.191384
"34520 16th Avenue South, Federal Way, Washington 98003",47.292619,-122.310186
"35100 Enchanted Parkway South, Federal Way, Washington 98003",47.287247,-122.310254
"301 S 320th St, Federal Way, Washington 98003",47.314166,-122.331651
"1815 North 45th Street #110, Seattle, Washington 98103",47.661127,-122.335717
"1820 North 45th Street, Seattle, Washington 98103",47.661615,-122.335494
"531 Queen Anne Avenue North, Seattle, Washington 98109",47.624275,-122.357011
"710 South 348th Street Ste B, Federal Way, Washington 98003",47.290222,-122.324991
"729 Meridian Avenue East, Edgewood, Washington 98371",47.250424,-122.292742
"6800 East Green Lake Way North Ste 250, Seattle, Washington 98115",47.678133,-122.327895
"22631 Bothell Everett Highway, Bothell, Washington 98021",47.792757,-122.212974
"5217 California Avenue Southwest, Seattle, Washington 98136",47.555683,-122.387506
"4707 California Avenue Southwest, Seattle, Washington 98116",47.560876,-122.386959
"9800 4th Avenue Northeast, Seattle, Washington 98115",47.700872,-122.323786
"3136 East Main, Puyallup, Washington 98372",47.1921,-122.258154
"1401 Northwest 46th Street, Seattle, Washington 98107",47.662021,-122.374321
"8500 15th Avenue Northwest, Seattle, Washington 98117",47.690885,-122.376348
"10224 Airport Way Suite A , Snohomish, Washington 98296",47.903855,-122.099507
"926 164th Street Southeast, Mill Creek, Washington 98012",47.848735,-122.219432
"16222 Bothell Everett Highway, Mill Creek, Washington 98012",47.850803,-122.219415
"17617 Vashon Highway Southwest, Vashon, Washington 98070",47.446878,-122.460863
"1007 39th Avenue Southeast, Puyallup, Washington 98374",47.155421,-122.280051
"17524 Aurora Avenue North, Shoreline, Washington 98133",47.756802,-122.345305
"310 31st Avenue Southeast, Puyallup, Washington 98374",47.16137,-122.288701
"15808 Mill Creek Boulevard Suite 201, Mill Creek, Washington 98012",47.854709,-122.220994
"10030 Southwest 210th Street, Vashon, Washington 98070",47.417238,-122.463175
"3500 S Meridian #845, Puyallup, Washington 98373",47.157293,-122.295953
"North 205th Street, Shoreline, Washington 98133",47.777616,-122.355619
"1400 164th Street Southwest, Lynnwood, Washington 98087",47.849628,-122.255711
"18109 33rd Avenue West, Lynnwood, Washington 98037",47.834249,-122.273275
"1201 39th Avenue Southwest, Puyallup, Washington 98373",47.155736,-122.307767
"13110 Bothell Everett Highway, Everett, Washington 98208",47.879221,-122.206967
"10217 125th Street Court East, Puyallup, Washington 98374",47.142871,-122.291652
"20200 54th Avenue West, Lynnwood, Washington 98036",47.816063,-122.307293
"1708 East 44th Street, Tacoma, Washington 98404",47.217073,-122.405471
"10302 159th Street East, Puyallup, Washington 98374",47.111764,-122.265752
"1920 100th Street Southeast Bldg B, Everett, Washington 98208",47.906982,-122.205865
"209 Martin Luther King Junior Way, Tacoma, Washington 98405",47.260706,-122.453069
"316 North L Street, Tacoma, Washington 98403",47.260128,-122.456101
"11918 Airport Road, Everett, Washington 98204",47.89003,-122.258808
"1202 Martin Luther King Junior Way, Tacoma, Washington 98405",47.250705,-122.451851
"10302 Sunrise Boulevard East, Puyallup, Washington 98374",47.097627,-122.292437
"3737 Pacific Avenue, Tacoma, Washington 98418",47.223511,-122.433388
"1307 South 11th Street, Tacoma, Washington 98405",47.251876,-122.455173
"11400 Highway 99, Everett, Washington 98204",47.895073,-122.253485
"1112 South Cushman Avenue, Tacoma, Washington 98405",47.250784,-122.457731
"9502 176th Street East, Puyallup, Washington 98375",47.095813,-122.303539
"186th Place East, Puyallup, Washington 98375",47.086939,-122.295141
