Addresses,lat,lon
"248 Bendigo Boulevard South, North Bend, Washington 98045",,
"38700 Southeast River Street #400, Snoqualmie, Washington 98065",,
"35013 Snoqualmie Parkway, Snoqualmie, Washington 98065",,
"450 Northwest Gilman Boulevard Suite 107, Issaquah, Washington 98027",,
"755 Northwest Gilman Boulevard, Issaquah, Washington 98027",,
"1065 Northwest Gilman Boulevard, Issaquah, Washington 98027",,
"26705 Maple Valley Black Diamond Road Southeast, Maple Valley, Washington 98038",,
"22117 Southeast 237th Street, Maple Valley, Washington 98038",,
"526 228th Avenue Northeast, Sammamish, Washington 98074",,
"17254 140th Avenue Southeast, Renton, Washington 98058",,
"4700 Northeast 4th Street, Renton, Washington 98059",,
"17125 Southeast 272nd Street, Covington, Washington 98042",,
"15100 Southeast 38th Street, Bellevue, Washington 98006",,
"3801 150th Avenue Southeast, Bellevue, Washington 98006",,
"14350 Southeast Eastgate Way, Bellevue, Washington 98007",,
"3000 Northeast 4th Street, Renton, Washington 98056",,
"3116 Northeast Sunset Boulevard, Renton, Washington 98056",,
"653 156th Avenue Northeast, Bellevue, Washington 98007",,
"3011 Northeast Sunset Boulevard, Renton, Washington 98056",,
"1299 156th Avenue Northeast Ste 140, Bellevue, Washington 98007",,
"13451 Southeast 36th Street, Bellevue, Washington 98006",,
"3620 Factoria Boulevard Southeast, Bellevue, Washington 98006",,
"3905 Factoria Square Mall Southeast, Bellevue, Washington 98006",,
"2217 152nd Avenue Northeast, Redmond, Washington 98052",,
"17550 Northeast 67th Court, Redmond, WA 98052",,
"2560 152nd Avenue Northeast, Redmond, WA 98052",,
"12608 Southeast 240th Street, Kent, WA 98031",,
"14880 Northeast 24th Street, Redmond, Washington 98052",,
"17700 Northeast 76th Street, Redmond, Washington 98052",,
"100 Mill Avenue South, Renton, Washington 98057",,
"1215 North Landing Way, Renton, Washington 98057",,
"10712 Southeast Carr Road, Renton, Washington 98055",,
"17220 Redmond Way, Redmond, Washington 98052",,
"7370 170th Avenue Northeast, Redmond, Washington 98052",,
"27112 132nd Avenue Southeast, Kent, Washington 98042",,
"2000 Benson Road South, Renton, Washington 98055",,
"12946 Southeast Kent Kangley Road, Kent, Washington 98030",,
"13353 Bel Red Road Ste 105, Bellevue, Washington 98005",,
"601 South Grady Way Ste.P, Renton, Washington 98057",,
"7945 Gilman St, Redmond, WA 98052",,
"275 Rainier Avenue South, Renton, Washington 98057",,
"15809 Bear Creek Parkway Suite 100, Redmond, Washington 98052",,
"1700 1st Street, Enumclaw, WA 98022",,
"15840 Redmond Way, Redmond, Washington 98052",,
"11625 Rainier Avenue South Suite 102, Seattle, Washington 98178",,
"232 Roosevelt Avenue, Enumclaw, Washington 98022",,
"8862 161st Avenue Northeast #102, Redmond, Washington 98052",,
"11919 Northeast 8th Street, Bellevue, Washington 98005",,
"1350 Garrett St, Enumclaw, Washington 98022",,
"272 116th Avenue Northeast, Bellevue, Washington 98004",,
"11511 Northeast 10th Street, Bellevue, Washington 98004",,
"800 Southwest 16th Street, Renton, WA 98057",,
"10407 Southeast 256th Street, Kent, Washington 98030",,
"1632 116th Avenue Northeast Suite C, Bellevue, Washington 98004",,
"1603 116th Avenue Northeast Ste 111, Bellevue, Washington 98004",,
"800 Southwest 39th Street, Suite 150, Renton, WA 98057",,
"25742 104th Avenue Southeast, Kent, Washington 98030",,
"25605 104th Avenue Southeast, Kent, Washington 98030",,
"8441 Southeast 68th Street, Mercer Island, Washington 98040",,
"26004 104th Avenue Southeast, Kent, Washington 98030",,
"26301 104th Avenue Southeast, Kent, Washington 98030",,
"1200 Southwest 27th Street, Renton, Washington 98057",,
"107 Bellevue Way Southeast, Bellevue, Washington 98004",,
"10400 Northeast 4th Street, Bellevue, Washington 98004",,
"6619 132nd Avenue Northeast, Kirkland, Washington 98033",,
